"","frn","cnt_co","cnt_services","cnt_locations","area_sqkm2","states"
"584","0002647857",3,3721,2612,775.16406,"{27}"
"585","0002648285",3,28305,18802,415.756707,"{27}"
"586","0002650828",4,23458,12933,2072.12723,"{27}"
"587","0002652048",3,9357,7402,534.428963,"{27}"
"588","0002652741",11,34212,24636,6556.922976,"{19,27}"
"589","0002707875",2,502,502,28.812577,"{55}"
"590","0002713626",4,11377,11377,1733.922024,"{55}"
"591","0002713683",4,12590,12590,3180.88612,"{55}"
"592","0002716561",34,1033830,898882,13124.039047,"{28,55}"
"593","0002717031",4,6494,6103,1173.398598,"{55}"
"594","0002719045",2,4073,4073,350.151793,"{55}"
"595","0002719458",4,1506,1506,279.302688,"{55}"
"596","0002720977",1,3842,3842,207.259948,"{55}"
"597","0002721157",3,4957,4957,937.260818,"{55}"
"598","0002721629",5,2635,2635,417.895175,"{55}"
"599","0002723336",2,5168,5168,805.566813,"{55}"
"600","0002723534",2,5165,5165,489.251855,"{55}"
"601","0002723773",3,6189,6189,665.103203,"{55}"
"602","0002733921",1,10216,5217,45.961492,"{26}"
"603","0002735751",15,20541,20541,6686.039317,"{26}"
"604","0002756187",8,29461,20502,1603.838552,"{26}"
"605","0002771228",3,8147,8147,516.563574,"{26}"
"606","0002771244",2,3757,2760,236.029723,"{26}"
"607","0002776771",78,2516407,2276468,40661.467985,"{26,28}"
"608","0002801256",5,1551,1538,7729.161337,"{16,32,41}"
"609","0002816411",1,556,556,156.85103,"{17}"
"610","0002817500",6,5781,5781,1730.388996,"{17}"
"611","0002817823",5,3980,3980,1137.542138,"{17}"
"612","0002821221",8,1442,1442,1771.355085,"{17}"
"613","0002860468",8,32044,25470,4908.129601,"{17,19,55}"
"614","0002860856",57,2604957,2416219,16990.802085,"{17,28}"
"615","0002871754",1,3812,1915,198.335898,"{18}"
"616","0002884963",9,18492,13556,502.610414,"{18}"
"617","0002898724",6,6202,6202,1054.7742,"{18}"
"618","0002898856",4,11122,7917,472.043603,"{18}"
"619","0002901791",2,2350,1733,166.220139,"{18}"
"620","0002901817",9,13210,12811,1147.297403,"{18}"
"621","0002901833",4,9431,4974,591.135306,"{18}"
"622","0002901957",7,21808,21808,2378.132779,"{18}"
"623","0002902955",2,33559,25804,575.77043,"{18}"
"624","0002903045",3,4295,4277,823.450192,"{18}"
"625","0002904654",70,1331535,1178180,20572.589252,"{18,28}"
"626","0002922201",3,1811,1811,191.029269,"{39}"
"627","0002924751",2,8368,7472,245.969581,"{39}"
"628","0002924777",3,3001,3000,437.009909,"{39}"
"629","0002926582",3,9874,9874,499.048806,"{39}"
"630","0002930980",146,1427905,1176906,75114.4381930001,"{17,18,21,39,47}"
"631","0002946986",62,2136555,1884758,21040.445067,"{39}"
"632","0003007481",7,40298,36923,2063.571974,"{39}"
"633","0003020146",9,389,388,367.536837,"{18,21,39}"
"634","0003188133",2,1404,702,346.594245,"{42}"
"635","0003189172",1,46,46,33.830352,"{42}"
"636","0003193000",2,2222,2193,94.209806,"{39,42}"
"637","0003194776",1,1445,1445,121.530481,"{42}"
"638","0003219227",21,243091,243091,7985.070737,"{42}"
"639","0003222213",3,5543,5543,267.60124,"{42}"
"640","0003269883",1,2844,2844,50.860148,"{42}"
"641","0003271798",3,311326,207647,1496.64021,"{10}"
"642","0003271871",3,62625,40646,614.489446,"{42}"
"643","0003273505",65,2995628,2892164,44242.740716,"{42,48}"
"644","0003316692",21,2210332,2058395,12420.171271,"{34}"
"645","0003412871",3,6549,6549,493.257822,"{36}"
"646","0003435633",3,3772,3771,1063.247709,"{36}"
"647","0003436367",2,1884,1602,342.884209,"{36,42}"
"648","0003469442",60,3320675,2932202,39420.576247,"{09,36}"
"649","0003474327",278,2235320,2207407,35884.950081,"{01,04,05,13,16,17,18,19,20,22,27,28,29,31,35,38,40,41,45,46,47,48,53}"
"650","0003475282",4,65869,65869,763.793546,"{04}"
"651","0003475654",20,78023,78023,1833.107901,"{06}"
"652","0003571619",84,398302,394563,7449.846953,"{17,19,55}"
"653","0003571635",97,810782,802038,9453.803642,"{19,27}"
"654","0003571650",23,26184,26184,889.090477,"{55}"
"655","0003571676",74,248533,232390,8276.791163,"{27,46}"
"656","0003571692",69,125774,125774,2959.790426,"{17,18,26,39}"
"657","0003572633",7,71953,71155,1074.82952,"{10,24}"
"658","0003628971",22,1920961,1790586,19431.317712,"{09,25,33,44}"
"659","0003645843",20,273606,273606,23028.175129,"{33,36,50}"
"660","0003666435",4,4760,4760,1055.705543,"{33}"
"661","0003666708",5,11448,10032,556.610956,"{33}"
"662","0003707767",6,5507,5506,1342.249504,"{31}"
"663","0003707775",6,11942,11942,2147.258608,"{45}"
"664","0003708013",5,1659,1659,44.382328,"{31}"
"665","0003708104",3,7424,7148,241.23391,"{26}"
"666","0003708120",4,12872,12793,675.111991,"{18}"
"667","0003708203",2,1349,1342,151.665684,"{17}"
"668","0003708237",1,110,110,17.65077,"{17}"
"669","0003708575",3,4323,2280,415.426785,"{19}"
"670","0003709888",10,12905,5815,4581.461165,"{38,46}"
"671","0003710100",3,1449,1267,333.069905,"{13}"
"672","0003710597",3,1138,1138,223.19276,"{17}"
"673","0003713906",10,51389,51284,728.893414,"{23,25}"
"674","0003713963",6,15817,8100,2353.597637,"{19,27,46}"
"675","0003715885",4,6986,6986,664.207827,"{13}"
"676","0003715968",1,6227,6213,37.609522,"{21}"
"677","0003716164",6,16938,14645,1000.142841,"{48}"
"678","0003716255",7,13066,9153,1691.492547,"{41}"
"679","0003716263",4,179,179,845.788727,"{41}"
"680","0003717709",6,21641,21641,1659.589348,"{45}"
"681","0003717725",7,9636,9636,425.981829,"{45}"
"682","0003717949",1,52,52,5.253342,"{17}"
"683","0003718426",8,14240,14240,1576.391937,"{37}"
"684","0003719929",2,15269,15269,1876.343302,"{06}"
"685","0003720968",1,13267,6785,509.293011,"{17}"
"686","0003720984",1,3830,1629,300.605981,"{17}"
"687","0003720992",1,4297,4296,95.772509,"{17}"
"688","0003721008",2,3175,1666,352.476262,"{17}"
"689","0003721495",2,474,474,173.513126,"{17}"
"690","0003722113",2,591,591,176.18329,"{19}"
"691","0003722121",2,5648,5041,414.532146,"{19}"
"692","0003722188",3,1037,1037,322.840084,"{19}"
"693","0003722410",14,73013,45836,12249.042385,"{19}"
"694","0003722444",7,2881,2881,2250.851874,"{20}"
"695","0003722485",4,1572,1277,302.717621,"{19,27}"
"696","0003722758",4,477,477,230.35492,"{19}"
"697","0003722790",3,2603,2603,679.120854,"{19}"
"698","0003722824",5,2068,2068,685.050139,"{19}"
"699","0003722865",4,3423,3423,867.587388,"{19}"
"700","0003722949",2,459,459,240.010289,"{19}"
"701","0003723053",4,2905,2905,113.285767,"{40}"
"702","0003723129",3,9706,6748,433.689073,"{40}"
"703","0003723640",10,26672,19231,3551.777212,"{28}"
"704","0003723665",1,4020,2964,643.89522,"{01}"
"705","0003723681",3,7993,5835,580.371182,"{01,13}"
"706","0003723699",3,716,716,180.593055,"{17}"
"707","0003723707",3,6614,4591,557.56698,"{47}"
"708","0003723715",5,9570,7990,987.845565,"{47}"
"709","0003723723",2,6424,5684,697.075651,"{47}"
"710","0003723731",6,1536,1536,1154.700753,"{17}"
"711","0003723756",2,2154,2154,305.914783,"{19}"
"712","0003723780",11,4777,4773,870.646174,"{22,28}"
"713","0003724655",1,961,961,307.506616,"{19}"
"714","0003724705",2,435,435,159.677968,"{19}"
"715","0003726288",4,5207,5207,1697.083576,"{19}"
"716","0003726759",3,2859,2859,686.876055,"{19}"
"717","0003727146",3,498,498,214.859325,"{19}"
"718","0003729142",9,19312,19312,933.946016,"{47}"
"719","0003729316",13,19448,13511,37560.538048,"{30}"
"720","0003729324",10,13919,9339,16214.255198,"{30}"
"721","0003730702",2,1436,890,218.044939,"{19}"
"722","0003730728",5,15205,15205,548.216898,"{17}"
"723","0003730835",3,2553,2553,256.606311,"{29}"
"724","0003730850",2,6170,5388,236.398261,"{18}"
"725","0003730900",7,7511,7511,2164.960212,"{19,27}"
"726","0003730959",3,2004,2004,589.63789,"{19}"
"727","0003731114",4,4170,4170,1209.20827,"{22}"
"728","0003731791",1,2378,2378,73.839824,"{25}"
"729","0003731882",1,117,117,0.606017,"{37}"
"730","0003731940",3,4868,4731,1493.489786,"{01}"
"731","0003732302",5,9281,9280,1650.573333,"{05}"
"732","0003732484",1,2540,2540,1353.16296,"{53}"
"733","0003732609",7,13173,10012,1699.489183,"{40}"
"734","0003732633",2,7633,7184,1359.242092,"{19}"
"735","0003732773",16,9146,8185,2014.371138,"{16,30}"
"736","0003733029",5,6181,6181,1490.174389,"{19,29}"
"737","0003733201",5,20710,19236,867.767126,"{26,39}"
"738","0003733284",1,70,70,18.140359,"{17}"
"739","0003733367",1,432,432,100.048405,"{42}"
"740","0003754652",3,1988,1964,1874.846498,"{08}"
"741","0003754686",3,1155,1101,913.160343,"{22}"
